,Accuracy,Precision,Recall,F1_Score,MSE,RMSE
Logistic Regression,0.7753971185814554,0.04040319893368877,0.9362934362934363,0.07746366395144547,0.2246028814185445,0.47392286441840353
Support Vector Machines,0.6638247817549044,0.029060788993401657,0.999034749034749,0.0564786772530081,0.33617521824509555,0.5798061902438568
Decision Trees,0.7854198666225964,0.04069691279856775,0.8996138996138996,0.07787107824706521,0.21458013337740361,0.46322794969367254
Gradient Boosting,0.7801314331265918,0.041278748458955065,0.9372586872586872,0.07907488089905941,0.2198685668734081,0.46890144686640506
